toward;0.00029685
death;0.00029596
followed;0.00029506
present;0.00029506
dolokhov;0.00029506
labor;0.00029416
necessary;0.00029327
money;0.00029237
set;0.00029147
woman;0.00029147
almost;0.00029147
until;0.00029147
open;0.00029147
nerve;0.00029058
want;0.00028968
ran;0.00028878
things;0.00028789
expression;0.00028789
act;0.00028789
use;0.00028699
replied;0.00028699
fig;0.00028699
sent;0.00028609
troops;0.00028609
half;0.00028520
south;0.00028520
officers;0.00028340
business;0.00028161
became;0.00028161
within;0.00028071
mother;0.00027981
england;0.00027892
commander;0.00027802
year;0.00027712
pp;0.00027623
taking;0.00027264
wound;0.00027264
themselves;0.00027264
thing;0.00027174
pain;0.00027174
number;0.00026995
leave;0.00026905
america;0.00026816
word;0.00026726
added;0.00026726
above;0.00026726
party;0.00026726
table;0.00026547
parts;0.00026547
home;0.00026457
lay;0.00026457
find;0.00026367
anna;0.00026367
either;0.00026277
near;0.00026277
tissues;0.00026277
boris;0.00026277
enemy;0.00026188
constitution;0.00026188
continued;0.00026098
fact;0.00026098
high;0.00026008
letter;0.00026008
four;0.00025919
project;0.00025829
red;0.00025829
2;0.00025829
public;0.00025829
held;0.00025739
common;0.00025739
talk;0.00025739
example;0.00025650
west;0.00025650
important;0.00025560
national;0.00025560
illustration;0.00025560
friend;0.00025381
cried;0.00025381
entered;0.00025291
carried;0.00025291
received;0.00025112
second;0.00025112
nor;0.00025112
got;0.00025112
five;0.00025022
land;0.00025022
surface;0.00025022
light;0.00024932
next;0.00024843
cannot;0.00024843
used;0.00024753
glands;0.00024663
ever;0.00024573
fire;0.00024573
different;0.00024573
itself;0.00024484
union;0.00024484
really;0.00024394
twenty;0.00024394
around;0.00024304
saying;0.00024215
early;0.00024215
sitting;0.00024125
best;0.00024035
petya;0.00024035
full;0.00023946
better;0.00023856
evening;0.00023766
british;0.00023766
gutenberg;0.00023587
name;0.00023497
horses;0.00023497
arm;0.00023497
bones;0.00023497
since;0.00023318
together;0.00023318
road;0.00023318
political;0.00023318
thousand;0.00023228
cold;0.00023049
o;0.00023049
heart;0.00022959
speak;0.00022869
forms;0.00022869
shouted;0.00022780
means;0.00022690
ask;0.00022511
kept;0.00022511
impossible;0.00022421
arms;0.00022331
vessels;0.00022331
due;0.00022331
line;0.00022242
moved;0.00022242
petersburg;0.00022152
becomes;0.00021973
rose;0.00021793
wish;0.00021793
vasili;0.00021793
conditions;0.00021704
system;0.00021614
tuberculous;0.00021614
drawing;0.00021524
rise;0.00021524
gone;0.00021524
third;0.00021435
force;0.00021435
king;0.00021345
de;0.00021255
times;0.00021165
everyone;0.00021165
short;0.00021165
black;0.00021076
formed;0.00021076
pressure;0.00021076
hair;0.00020986
laws;0.00020896
clear;0.00020896
fellow;0.00020896
longer;0.00020807
remained;0.00020717
children;0.00020717
help;0.00020627
ready;0.00020627
regiment;0.00020627
results;0.00020538
hundred;0.00020538
forward;0.00020538
air;0.00020448
military;0.00020448
myself;0.00020358
peace;0.00020358
north;0.00020358
wounded;0.00020358
rode;0.00020358
answered;0.00020269
beyond;0.00020179
tried;0.00020179
crowd;0.00020179
growth;0.00020179
lost;0.00020089
news;0.00020089
point;0.00020000
past;0.00020000
anyone;0.00020000
orders;0.00020000
service;0.00020000
tumour;0.00020000
across;0.00019910
interest;0.00019910
understood;0.00019910
anatole;0.00019910
ah;0.00019820
bed;0.00019820
strange;0.00019731
reached;0.00019731
000;0.00019731
read;0.00019641
process;0.00019641
rather;0.00019641
sound;0.00019641
close;0.00019641
ten;0.00019641
spoke;0.00019551
frequently;0.00019551
beside;0.00019551
standing;0.00019551
self;0.00019551
happy;0.00019551
opinion;0.00019551
opened;0.00019461
coming;0.00019461
making;0.00019461
presence;0.00019461
limb;0.00019461
trade;0.00019461
till;0.00019372
deep;0.00019282
soldier;0.00019282
formation;0.00019282
affairs;0.00019192
operation;0.00019192
aneurysm;0.00019192
show;0.00019103
wanted;0.00019103
raised;0.00019013
field;0.00019013
thus;0.00019013
english;0.00018923
slavery;0.00018923
family;0.00018834
repeated;0.00018834
stopped;0.00018834
wished;0.00018744
rest;0.00018744
following;0.00018654
perhaps;0.00018654
turning;0.00018654
happened;0.00018654
seeing;0.00018565
colonies;0.00018565
applied;0.00018475
true;0.00018385
answer;0.00018385
muscles;0.00018296
neck;0.00018206
talking;0.00018206
occur;0.00018206
events;0.00018206
affected;0.00018206
period;0.00018206
kind;0.00018116
revolution;0.00018116
else;0.00018027
able;0.00018027
won;0.00018027
foot;0.00017937
cut;0.00017847
call;0.00017668
appeared;0.00017668
rapidly;0.00017668
led;0.00017578
associated;0.00017578
german;0.00017578
lower;0.00017578
husband;0.00017578
southern;0.00017578
terrible;0.00017488
york;0.00017488
abscess;0.00017488
returned;0.00017399
least;0.00017399
lymph;0.00017399
spread;0.00017309
russia;0.00017309
company;0.00017219
middle;0.00017219
local;0.00017219
attention;0.00017130
features;0.00017130
reason;0.00017130
noticed;0.00017130
wall;0.00017040
campaign;0.00017040
return;0.00017040
3;0.00017040
merely;0.00016950
re;0.00016950
tumours;0.00016950
steps;0.00016861
whose;0.00016861
turn;0.00016861
silent;0.00016861
effect;0.00016771
water;0.00016771
therefore;0.00016681
window;0.00016681
laid;0.00016681
giving;0.00016681
wounds;0.00016681
speaking;0.00016592
person;0.00016592
subject;0.00016592
soft;0.00016592
federal;0.00016592
dinner;0.00016502
size;0.00016502
hear;0.00016412
believe;0.00016412
doctor;0.00016412
daughter;0.00016412
waiting;0.00016412
strength;0.00016412
honor;0.00016412
placed;0.00016323
immediately;0.00016323
quickly;0.00016323
colonial;0.00016323
dark;0.00016233
conversation;0.00016233
questions;0.00016233
trying;0.00016233
street;0.00016143
hard;0.00016143
city;0.00016143
feet;0.00016053
view;0.00016053
measures;0.00016053
doing;0.00015964
usual;0.00015964
removed;0.00015964
bolkonski;0.00015964
sir;0.00015874
account;0.00015874
former;0.00015874
civil;0.00015874
paper;0.00015874
lady;0.00015874
fell;0.00015874
brother;0.00015874
foreign;0.00015874
six;0.00015784
glanced;0.00015784
child;0.00015784
nearly;0.00015784
forces;0.00015784
republican;0.00015784
enough;0.00015695
fine;0.00015695
character;0.00015605
particularly;0.00015605
closed;0.00015605
town;0.00015605
hardly;0.00015515
single;0.00015515
afraid;0.00015515
considerable;0.00015515
court;0.00015515
severe;0.00015515
please;0.00015426
coat;0.00015426
sides;0.00015426
freedom;0.00015426
tears;0.00015426
knee;0.00015336
symptoms;0.00015336
joints;0.00015336
nature;0.00015246
seat;0.00015246
ground;0.00015246
meet;0.00015246
human;0.00015246
france;0.00015246
m;0.00015246
syphilis;0.00015246
cancer;0.00015246
society;0.00015157
remarked;0.00015157
boy;0.00015157
acute;0.00015157
d;0.00015157
covered;0.00015157
nation;0.00015157
gangrene;0.00015157
rights;0.00015067
strong;0.00015067
soul;0.00015067
neither;0.00015067
although;0.00015067
changes;0.00015067
artery;0.00015067
spirit;0.00014977
swelling;0.00014977
girl;0.00014888
fear;0.00014888
hours;0.00014888
thin;0.00014888
reply;0.00014888
grew;0.00014888
tone;0.00014888
washington;0.00014888
adjutant;0.00014888
late;0.00014798
bring;0.00014798
pale;0.00014798
helene;0.00014798
except;0.00014708
dead;0.00014708
mouth;0.00014708
according;0.00014708
considered;0.00014708
area;0.00014619
yourself;0.00014529
faces;0.00014529
remember;0.00014439
smiling;0.00014439
feel;0.00014439
someone;0.00014349
fresh;0.00014349
need;0.00014349
village;0.00014349
clinical;0.00014349
rostovs;0.00014349
plan;0.00014260
special;0.00014260
lesions;0.00014260
contrary;0.00014170
smiled;0.00014170
ulcer;0.00014170
hour;0.00014080
attack;0.00014080
members;0.00014080
finally;0.00013991
employed;0.00013991
listened;0.00013991
friends;0.00013991
bridge;0.00013991
bagration;0.00013991
bad;0.00013901
alexander;0.00013901
various;0.00013901
pus;0.00013901
pass;0.00013811
membrane;0.00013811
europe;0.00013722
drew;0.00013722
ve;0.00013722
takes;0.00013722
growing;0.00013722
occurs;0.00013722
haemorrhage;0.00013722
doubt;0.00013632
primary;0.00013632
muscle;0.00013632
pavlovna;0.00013632
command;0.00013542
described;0.00013542
independence;0.00013542
convention;0.00013542
syphilitic;0.00013542
change;0.00013453
glad;0.00013453
appear;0.00013453
george;0.00013453
powers;0.00013363
wrote;0.00013363
john;0.00013363
hope;0.00013363
voices;0.00013363
showed;0.00013363
nerves;0.00013363
causes;0.00013363
relations;0.00013363
decided;0.00013363
difficult;0.00013273
ordered;0.00013273
terms;0.00013273
virginia;0.00013273
russians;0.00013273
suppuration;0.00013273
secondary;0.00013273
probably;0.00013184
drawn;0.00013184
fixed;0.00013184
opening;0.00013094
minutes;0.00013094
direction;0.00013094
lips;0.00013094
says;0.00013094
fingers;0.00013094
killed;0.00013094
unable;0.00013094
republicans;0.00013094
liable;0.00013094
complete;0.00013004
st;0.00013004
run;0.00013004
struck;0.00013004
frightened;0.00013004
natural;0.00013004
leg;0.00013004
governor;0.00013004
study;0.00012915
capital;0.00012915
staff;0.00012915
smoke;0.00012915
sister;0.00012915
holding;0.00012915
blue;0.00012825
happiness;0.00012825
cry;0.00012825
carriage;0.00012825
loss;0.00012825
c;0.00012825
greater;0.00012825
colonel;0.00012825
beginning;0.00012825
moving;0.00012825
mademoiselle;0.00012735
keep;0.00012735
master;0.00012645
serious;0.00012645
remain;0.00012645
4;0.00012645
idea;0.00012645
method;0.00012645
firm;0.00012645
direct;0.00012645
declared;0.00012645
running;0.00012556
indeed;0.00012466
simple;0.00012466
heavy;0.00012466
step;0.00012466
pleasure;0.00012466
relation;0.00012466
group;0.00012466
increased;0.00012466
consists;0.00012466
sarcoma;0.00012466
prepared;0.00012376
dress;0.00012376
marked;0.00012376
influence;0.00012376
ill;0.00012376
further;0.00012376
camp;0.00012376
lead;0.00012287
instead;0.00012287
age;0.00012287
thinking;0.00012287
property;0.00012287
vessel;0.00012287
alpatych;0.00012287
matters;0.00012197
e;0.00012197
silence;0.00012197
duty;0.00012197
industry;0.00012197
leaders;0.00012197
diseases;0.00012197
march;0.00012107
x;0.00012107
manner;0.00012107
appearance;0.00012107
chair;0.00012107
living;0.00012107
uncle;0.00012107
expressed;0.00012107
changed;0.00012018
passing;0.00012018
seems;0.00012018
veins;0.00012018
prevent;0.00012018
chiefly;0.00012018
story;0.00011928
slowly;0.00011928
besides;0.00011928
lines;0.00011928
popular;0.00011928
term;0.00011928
seven;0.00011838
lord;0.00011838
leaving;0.00011838
attended;0.00011838
angry;0.00011838
produced;0.00011838
activity;0.00011749
observed;0.00011749
office;0.00011749
low;0.00011749
dry;0.00011749
victory;0.00011749
mikhaylovna;0.00011749
upper;0.00011659
months;0.00011659
effort;0.00011659
east;0.00011659
clearly;0.00011659
injury;0.00011659
cells;0.00011659
bourienne;0.00011659
latter;0.00011569
poor;0.00011569
similar;0.00011569
sight;0.00011569
established;0.00011569
dressing;0.00011569
historians;0.00011569
tendon;0.00011569
series;0.00011480
corner;0.00011480
silver;0.00011480
eight;0.00011480
pay;0.00011480
loved;0.00011480
live;0.00011480
tm;0.00011480
excellency;0.00011480
wait;0.00011390
broken;0.00011390
everybody;0.00011390
destroyed;0.00011390
captain;0.00011390
peasants;0.00011390
divided;0.00011390
expected;0.00011300
future;0.00011300
shoulders;0.00011211
gold;0.00011211
book;0.00011211
thoughts;0.00011211
jefferson;0.00011211
organisms;0.00011211
straight;0.00011121
fall;0.00011121
danger;0.00011121
ball;0.00011121
tariff;0.00011121
rostopchin;0.00011121
sure;0.00011031
explain;0.00011031
thirty;0.00011031
uniform;0.00011031
kissed;0.00011031
resulting;0.00011031
easy;0.00010941
finger;0.00010941
pressed;0.00010941
control;0.00010941
portion;0.00010941
prisoners;0.00010941
purpose;0.00010852
5;0.00010852
rule;0.00010852
occurred;0.00010852
asking;0.00010852
chronic;0.00010852
majority;0.00010852
subcutaneous;0.00010852
remembered;0.00010762
clock;0.00010762
produce;0.00010762
arrived;0.00010762
filled;0.00010762
health;0.00010762
economic;0.00010762
hot;0.00010672
certainly;0.00010672
presented;0.00010672
commerce;0.00010672
persons;0.00010672
individual;0.00010672
f;0.00010672
election;0.00010672
ulcers;0.00010672
interests;0.00010583
lying;0.00010583
legs;0.00010583
quiet;0.00010583
exclaimed;0.00010583
distance;0.00010583
meeting;0.00010583
articular;0.00010583
written;0.00010493
post;0.00010493
houses;0.00010493
importance;0.00010493
follow;0.00010493
handsome;0.00010493
church;0.00010493
earth;0.00010493
weeks;0.00010493
spite;0.00010493
region;0.00010493
western;0.00010493
administration;0.00010493
massachusetts;0.00010493
section;0.00010493
generals;0.00010493
mamma;0.00010493
occupied;0.00010403
glass;0.00010403
shoulder;0.00010403
affair;0.00010403
seem;0.00010403
policy;0.00010403
politics;0.00010403
vein;0.00010403
laughing;0.00010314
note;0.00010314
ought;0.00010314
below;0.00010314
leading;0.00010314
meaning;0.00010314
truth;0.00010314
movements;0.00010314
suffrage;0.00010314
increase;0.00010314
bacteria;0.00010314
seized;0.00010224
easily;0.00010224
hold;0.00010224
papers;0.00010224
drove;0.00010224
whatever;0.00010224
rushed;0.00010224
slight;0.00010224
bright;0.00010224
reading;0.00010224
territory;0.00010224
senate;0.00010224
diagnosis;0.00010224
shown;0.00010134
lived;0.00010134
sleep;0.00010134
aid;0.00010134
meant;0.00010134
division;0.00010134
6;0.00010134
development;0.00010134
treaty;0.00010134
marya;0.00010134
miss;0.00010045
river;0.00010045
suffering;0.00010045
advanced;0.00010045
farmers;0.00010045
guns;0.00010045
pyogenic;0.00010045
tomorrow;0.00010045
royal;0.00009955
spent;0.00009955
varieties;0.00009955
